cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
7664,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",14.084598698481562,29.0,0,False,,13.0,True,cluster_1,0.4891393931741196
7665,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",16.947727272727274,30.0,0,False,,13.0,True,cluster_1,0.5356391663517913
7666,San Blas - Canillejas,sanblascanillejas,Green urban areas,Green urban areas,16.18954248366013,29.0,9,True,,13.0,True,cluster_1,0.7990723966306367
7667,San Blas - Canillejas,sanblascanillejas,Green urban areas,Green urban areas,8.053333333333333,13.0,1,False,,13.0,True,cluster_0,0.29314164202490495
7668,San Blas - Canillejas,sanblascanillejas,Green urban areas,Green urban areas,18.1840490797546,31.0,4,True,,13.0,True,cluster_1,0.43874066493196723
7669,San Blas - Canillejas,sanblascanillejas,Construction sites,Other,12.977272727272727,30.0,12,True,,13.0,True,cluster_1,1.1458967820959194
7670,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,7.0,8.0,2,False,79.0,29.0,True,cluster_0,0.39800174688543266
7671,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,16.0125,30.0,4,True,79.0,29.0,True,cluster_1,0.32757834141384634
7672,Hortaleza,hortaleza,Green urban areas,Green urban areas,9.96629213483146,28.0,1,False,79.0,29.0,True,cluster_1,0.5227557171351207
7673,Hortaleza,hortaleza,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),13.4,31.0,0,False,79.0,29.0,True,cluster_1,0.4986598930501528
7674,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,15.097674418604651,32.0,4,True,79.0,29.0,True,cluster_1,0.30887111811631063
7675,Hortaleza,hortaleza,Green urban areas,Green urban areas,16.414414414414413,23.0,4,True,79.0,29.0,True,cluster_1,0.42884360808162364
7676,Hortaleza,hortaleza,Green urban areas,Green urban areas,13.071428571428571,22.0,0,False,79.0,29.0,True,cluster_1,0.5787639989632629
7677,Hortaleza,hortaleza,Green urban areas,Green urban areas,23.123076923076923,34.0,0,False,79.0,29.0,True,cluster_2,0.6803578794818047
7678,Barajas,barajas,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),21.9468085106383,37.0,8,True,80.0,380.0,True,cluster_2,0.6895892003551228
7679,Hortaleza,hortaleza,Green urban areas,Green urban areas,6.571428571428571,11.0,0,False,79.0,29.0,True,cluster_0,0.3188055581655576
7680,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,10.180722891566266,18.0,0,False,79.0,29.0,True,cluster_0,0.3980188604368554
7681,Hortaleza,hortaleza,Green urban areas,Green urban areas,8.973214285714286,19.0,2,False,79.0,29.0,True,cluster_0,0.408596379049387
7682,Hortaleza,hortaleza,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),8.036809815950921,18.0,0,False,79.0,29.0,True,cluster_0,0.36475437773275515
7683,Hortaleza,hortaleza,Green urban areas,Green urban areas,6.506329113924051,11.0,1,False,79.0,29.0,True,cluster_0,0.31806124705878974
7684,Hortaleza,hortaleza,Land without current use,Land without current use,,,4,True,79.0,29.0,False,,
7685,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,3,True,79.0,29.0,False,,
7686,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7687,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7688,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7689,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7690,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7691,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,,,0,False,79.0,29.0,False,,
7692,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7693,Hortaleza,hortaleza,Sports and leisure facilities,Other,3.4444444444444446,4.0,0,False,79.0,29.0,True,cluster_0,0.5303242583163974
7694,Hortaleza,hortaleza,Sports and leisure facilities,Other,12.571428571428571,17.0,0,False,79.0,29.0,True,cluster_0,0.47231938850263316
